"Duration (min)","From Object","To Object"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
134.187,"From Sensor Sensor11","To Sensor Sensor32"
116.983,"From Sensor Sensor11","To Sensor Sensor32"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
142.859,"From Sensor Sensor11","To Sensor Sensor33"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
200.984,"From Sensor Sensor11","To Sensor Sensor34"
8640.000,"From Sensor Sensor11","To Sensor Sensor35"
42.328,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
193.809,"From Sensor Sensor11","To Sensor Sensor36"
146.795,"From Sensor Sensor11","To Sensor Sensor36"
16.013,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
206.669,"From Sensor Sensor11","To Sensor Sensor37"
185.970,"From Sensor Sensor11","To Sensor Sensor37"
8640.000,"From Sensor Sensor11","To Sensor Sensor38"
8640.000,"From Sensor Sensor12","To Sensor Sensor14"
8640.000,"From Sensor Sensor12","To Sensor Sensor15"
8640.000,"From Sensor Sensor12","To Sensor Sensor17"
8640.000,"From Sensor Sensor12","To Sensor Sensor18"
43.391,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
174.104,"From Sensor Sensor12","To Sensor Sensor21"
174.103,"From Sensor Sensor12","To Sensor Sensor21"
126.027,"From Sensor Sensor12","To Sensor Sensor21"
8640.000,"From Sensor Sensor12","To Sensor Sensor22"
125.162,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
206.666,"From Sensor Sensor12","To Sensor Sensor23"
76.819,"From Sensor Sensor12","To Sensor Sensor23"
85.989,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
193.811,"From Sensor Sensor12","To Sensor Sensor24"
